書類管理番号,提出者名,提出日,リスク番号,リスク内容,文字数,api_output,要約,大分類,リスク名,33業種区分
S100VG5E,マークラインズ株式会社,2025-03-25 13:49,15,"② ② 情報検索の機能向上について
当社グループが情報プラットフォーム上で提供している情報コンテンツは、当社グループが調査・収集を行った独自情報や調査・編集した高付加価値の情報で構成されております。また、当社グループでは、契約企業のご要望を反映しながら、より詳細な調査情報の提供、情報のカバー範囲を新興国に広げる等、日々継続してコンテンツの強化に努めております。一方で、AI等による情報検索技術が発達してきております。今後、コンテンツの内容によっては、検索技術の向上が新規契約見込会員等の当該コンテンツに関連した情報入手を容易にさせる可能性があり、無料登録会員の登録数減少等契約数に影響を及ぼす可能性があります。
　その場合、新規契約数に影響を及ぼす可能性があり、当社グループの事業及び業績に影響を与える可能性があります。",361,"要約: AI技術の進化により情報検索が容易になることで、無料登録会員の減少や新規契約数への影響が懸念され、結果的に業績に悪影響を与えるリスクがある。

大分類: 1. 戦略リスク  
リスク名: 市場環境リスク",AI技術の進化により情報検索が容易になることで、無料登録会員の減少や新規契約数への影響が懸念され、結果的に業績に悪影響を与えるリスクがある。,1. 戦略リスク,市場環境リスク,情報・通信業
S100VG5E,マークラインズ株式会社,2025-03-25 13:49,16,"(7) (7) 競合について
当社グループが行なう情報プラットフォーム（自動車業界のポータルサイト）事業と全く類似の事業は国内外を通じて存在していないものと認識していますが、当社グループの顧客層を対象とした情報サービスを部分的に提供している競合企業は存在しております。
当社グループの最大の強みは、６万人以上の完成車メーカーの社員を含む、自動車関連事業従事者50万人以上(2025年２月現在、無料登録会員含む)とインターネットを通じて双方向コミュニケーションで繋がっていることにあります。これに、日本の完成車メーカー全社、海外の有力メーカーが組織的に活用しているという自動車業界における情報プラットフォームの利用実績も併せ、新規参入障壁は高いと認識しております。また、インターネットの特性を生かしたサービスを展開し、提供する情報の質、量及び領域の拡充、また、利便性の維持向上により差別化を図り、法人契約社数の増加に結び付けております。
以上のことから、現在、部分的に情報サービスを提供する他社と激しく競合する環境にはないと判断しておりますが、今後、部分的に競合する他社における事業領域の拡大や、当社グループの事業モデルを模倣したサービスを行なう同業他社が出現した場合、一時的に収益性が低下すること等により、当社グループの事業及び業績に影響を与える可能性があります。",582,"要約: 競合企業が新たに参入した場合や、既存の競合による情報サービスの強化が進むと、当社の収益性が一時的に低下するリスクがある。

大分類: 1. 戦略リスク  
リスク名: 市場環境リスク",競合企業が新たに参入した場合や、既存の競合による情報サービスの強化が進むと、当社の収益性が一時的に低下するリスクがある。,1. 戦略リスク,市場環境リスク,情報・通信業
S100VG5E,マークラインズ株式会社,2025-03-25 13:49,18,"① ① 個人情報保護について
当社グループは、個人情報を含む顧客情報を保有及び管理しています。これらの情報資産を適切に保護することは業務運営上最重要事項として認識しており、個人情報保護法に則した社内規程の整備、入社時の社員教育の他、個人情報を取扱う役職員を限定し、個人情報へのアクセスにあたってはシステムの採用やパスワードにより制限を行う等、個人情報の漏えい防止策を講じております。
　しかしながら、外部からの不正な手段によるサーバー内への侵入などの犯罪や従業員の過誤等により個人情報等重要なデータが消去または不正に入手される可能性は否定できません。このような事態が発生した場合には社会的な信用を失うこととなる他、損害賠償負担等、当社グループの事業及び業績に影響を与える可能性があります。",344,"要約: 個人情報が外部からの侵入や従業員の過誤により漏洩する可能性があり、その結果として信用失墜や業績への影響が懸念されるリスク。

大分類: 6. 技術・情報リスク  
リスク名: 個人情報保護リスク",個人情報が外部からの侵入や従業員の過誤により漏洩する可能性があり、その結果として信用失墜や業績への影響が懸念されるリスク。,6. 技術・情報リスク,個人情報保護リスク,情報・通信業
S100VG5E,マークラインズ株式会社,2025-03-25 13:49,19,"② ② 有料職業紹介事業について
当社グループでは、日本国内で有料人材紹介事業を展開・運営しております。当社は当該事業を展開するにあたり、厚生労働大臣の許可を受けております。当社が有している有料職業紹介事業許可証の取消しについては、職業安定法第32条に欠格事由が定められております。現時点では、当社に許可取消しとなる事由に該当する事実はありません。
当該事業の全体売上高に占める割合は、2024年12月期連結会計年度において1.4％ではありますが、当該許可の取消しにより、当社グループ全体の評価を損なう可能性があります。その場合、当社グループの事業及び業績に影響を与える可能性があります。",294,"要約: 有料職業紹介事業の許可証が取り消されるリスクがあり、それによって企業全体の評価や業績に悪影響を及ぼす可能性がある。

大分類: 4. 法務・コンプライアンスリスク  
リスク名: 許可証取消リスク",有料職業紹介事業の許可証が取り消されるリスクがあり、それによって企業全体の評価や業績に悪影響を及ぼす可能性がある。,4. 法務・コンプライアンスリスク,許可証取消リスク,情報・通信業
S100VG5E,マークラインズ株式会社,2025-03-25 13:49,20,"(9) (9)　人材の確保及び育成について
当社グループでは、業容の拡大及びサービス内容の多様化に対応して、優秀な人材を適時に確保し、当社グループの企業ビジョンを共有化できる人材を育成していくことが重要であると考えています。しかしながら、雇用環境の変化等により当社グループの事業に必要な知識、技術、経験等を有する人材に対する需要が労働市場で高まり、必要な人員拡充が計画どおり進まない場合や、何らかの事由により人材の社外流出があった場合には、業容拡大の制約要因となり、当社グループの事業及び業績に影響を与える可能性があります。",262,"要約: 人材の確保と育成が重要であるが、雇用環境の変化により必要な人材が確保できず、業績に影響を及ぼすリスク。

大分類: 3. オペレーショナルリスク  
リスク名: 人材確保/育成リスク",人材の確保と育成が重要であるが、雇用環境の変化により必要な人材が確保できず、業績に影響を及ぼすリスク。,3. オペレーショナルリスク,人材確保/育成リスク,情報・通信業
S100VFN4,株式会社オロ,2025-03-25 16:33,2,"① ① 競合について
当社グループのクラウドソリューション事業及びマーケティングソリューション事業の分野においては既に数多くの競合企業が存在しております。また、当該事業分野が成長市場であること及び大きな参入障壁がないことから、今後、他社の新規参入により競合が激化する可能性があります。
当社グループでは、引き続き顧客のニーズを汲んだ製品・サービスの提供を進める方針でありますが、競合企業の営業方針、価格設定及び提供する製品・サービス等は、当社グループが属する市場に影響を与える可能性があります。また、AI等の新技術により、当社の製品・サービス及びビジネスモデルが陳腐化する可能性があります。
現在、サービスの機能強化や開発体制の強化、優秀な人材の確保に努めておりますが、
これらの競合企業に対して効果的な差別化を行うことができず、当社グループが想定している事業展開が図れない場合、当社グループの事業及び経営成績に影響を及ぼす可能性があります。",421,"要約: 競合企業の増加や新技術の進展が、当社の製品やサービスの市場競争力を低下させ、経営成績に悪影響を及ぼすリスクがある。

大分類: 1. 戦略リスク  
リスク名: 市場環境リスク",競合企業の増加や新技術の進展が、当社の製品やサービスの市場競争力を低下させ、経営成績に悪影響を及ぼすリスクがある。,1. 戦略リスク,市場環境リスク,情報・通信業
S100VFN4,株式会社オロ,2025-03-25 16:33,3,"② ② 特定の製品への依存について
当社グループのクラウドソリューション事業は特定の製品「ZAC」に依存した事業となっております。今後も取引の拡大に努めると同時に販売依存度を下げるため、新規の製品開発を図ってまいりますが、競合会社の新規参入や既存の会社との競合激化等が、当社グループの事業及び経営成績に影響を及ぼす可能性があります。",166,"要約: 特定の製品「ZAC」に依存しているため、競合会社の参入や競争激化が経営成績に影響を及ぼすリスクがある。

大分類: 3. オペレーショナルリスク  
リスク名: プラットフォーム依存リスク",特定の製品「ZAC」に依存しているため、競合会社の参入や競争激化が経営成績に影響を及ぼすリスクがある。,3. オペレーショナルリスク,プラットフォーム依存リスク,情報・通信業
S100VFN4,株式会社オロ,2025-03-25 16:33,5,"① ① 製品開発・販売を核にした事業モデルについて
当社グループの事業のうち、クラウドソリューション事業はソフトウェアの自社開発・販売とともに導入にかかるコンサルティングやカスタマイズ等を通じて、最適なソリューションをワンストップで提供できる点を売りにしているものの、その核となるのは自社製品の開発・販売になります。
市場の変化にいち早く対応できるよう最新の技術動向に対応し、開発・コンサルティング体制の強化に努めておりますが、
競争環境、顧客ニーズの変化等に対応できず、当社製品が市場競争力を喪失した場合、コンサルティングやカスタマイズ等他のサービスの競争力も同様に失われ、当社グループの事業及び経営成績に影響を及ぼす可能性があります。",319,"要約: 自社製品の開発・販売が市場競争力を失うと、コンサルティングやカスタマイズサービスも競争力を喪失し、企業の業績に影響を及ぼすリスク。

大分類: 1. 戦略リスク  
リスク名: 技術変化リスク",自社製品の開発・販売が市場競争力を失うと、コンサルティングやカスタマイズサービスも競争力を喪失し、企業の業績に影響を及ぼすリスク。,1. 戦略リスク,技術変化リスク,情報・通信業
S100VFN4,株式会社オロ,2025-03-25 16:33,6,"② ② プログラム等のバグ(不良箇所)について
当社グループが提供する製品に誤作動やバグ等が発生した場合、また、導入サポートや導入後の技術サポートにおいて当社グループの責任による支障が生じた場合、さらに、当社製品が機能不足と認識された場合や業務委託先の業務品質に起因する支障が生じた場合には、損害賠償責任の発生、並びに顧客からの信頼喪失が生じる可能性があります。これらの事象は、当社グループの事業や経営成績に影響を与える恐れがあります。",218,"要約: プログラムのバグやサポートの障害により損害賠償責任が発生し、顧客の信頼を失うリスクがある。

大分類: 3. オペレーショナルリスク  
リスク名: システム障害リスク  ",プログラムのバグやサポートの障害により損害賠償責任が発生し、顧客の信頼を失うリスクがある。,3. オペレーショナルリスク,システム障害リスク,情報・通信業
S100VFN4,株式会社オロ,2025-03-25 16:33,7,"③ ③ 知的財産権について
当社グループは、事業競争力確保の観点から、知的財産を重要な経営資源と捉え、知的財産権の取得及び保持に取り組んでおります。同時に、当社グループは事業を遂行するうえで、第三者の知的財産権の侵害を防止すべく調査を行うなど、細心の注意を払っております。 
しかしながら、当社グループが事業活動に関連して意図せず第三者の知的財産権を侵害した場合には、当該第三者からの損害賠償請求や使用差止請求等により、当社グループの事業及び経営成績に影響を与える可能性があります。",241,"要約: 知的財産権の侵害による損害賠償請求や使用差止請求が事業や経営に悪影響を及ぼすリスク。

大分類: 4. 法務・コンプライアンスリスク  
リスク名: 知的財産リスク",知的財産権の侵害による損害賠償請求や使用差止請求が事業や経営に悪影響を及ぼすリスク。,4. 法務・コンプライアンスリスク,知的財産リスク,情報・通信業
S100VFN4,株式会社オロ,2025-03-25 16:33,8,"④ ④ 顧客から預かる情報の管理について
当社グループは、事業の性質上、顧客企業の秘密情報や個人情報を取り扱う場合があり、その保護及び情報セキュリティの確保が重要です。また、当社が保有する情報を管理し、サービスを提供するためのデータセンターやネットワーク設備は、事業活動を継続するうえで不可欠な要素です。
これらの情報資産を保護するため、当社グループでは「情報セキュリティ方針」及び「個人情報保護方針」を策定し、情報セキュリティの国際規格やプライバシーマークの認証を取得・維持しています。加えて、情報管理体制や業務プロセスの整備・改善、全役職者への研修を通じた情報管理の徹底、ITインフラのセキュリティ強化、さらにデータセンターの分散配置の実施などにより、情報保護の強化とサービスの安定提供に取り組んでいます。
また、外注業務が発生する場合には、業務委託先の情報管理体制の確保が重要です。当社グループでは、業務委託先の選定時に基準を設け、その情報管理体制を適切に管理しています。
しかしながら、情報の授受・運搬中の紛失や盗難、データセンターやネットワーク設備に被害を及ぼす災害や事故、さらにサーバー攻撃などが発生した場合、顧客企業の秘密情報や個人情報が漏洩又は消失し、サービス提供が困難になる可能性があります。このような事態により、顧客からの損害賠償請求や、当社グループの信頼喪失により、事業及び経営成績に重大な影響を及ぼす可能性があります。",621,"要約: 顧客の秘密情報や個人情報の管理が重要であり、情報漏洩や紛失、システム攻撃等のリスクが事業に悪影響を及ぼす可能性がある。

大分類: 6. 技術・情報リスク  
リスク名: 情報セキュリティリスク",顧客の秘密情報や個人情報の管理が重要であり、情報漏洩や紛失、システム攻撃等のリスクが事業に悪影響を及ぼす可能性がある。,6. 技術・情報リスク,情報セキュリティリスク,情報・通信業
S100VFN4,株式会社オロ,2025-03-25 16:33,10,"① ① 人材の確保や育成について
当社グループにおいて優秀な社内の人材の確保、育成及び定着は最重要課題と認識しております。また、国内においては労働人口の減少が進行していることを踏まえ、中長期の持続的な成長に向けて女性活躍推進を含む多様性(ダイバーシティ)を有する人材の確保が必要となります。
これら将来に向けた積極的な採用活動、人事評価制度の整備や研修の実施等の施策を通じ、社内リーダー層への幹部教育、新入社員及び中途入社社員の育成、定着に取り組んでおります。同時に、多様性を有する人材の積極採用や多様なキャリアパス・働き方を受け容れる環境の整備、就業環境の向上等の施策に努めてまいります。
しかしながら、これらの施策が効果的である保証はなく、また、必要な人材を確保できない可能性があります。また、必ずしも採用し育成した役職員が、当社グループの事業に寄与し続けるとは限りません。このような場合には、当社グループの事業及び経営成績に影響を与える可能性があります。",430,"要約: 当社は優秀な人材の確保や育成が重要であるが、労働人口の減少や施策の非効果性により、必要な人材を確保できないリスクがあり、経営成績に悪影響を及ぼす可能性がある。

大分類: 3. オペレーショナルリスク  
リスク名: 人材確保/育成リスク",当社は優秀な人材の確保や育成が重要であるが、労働人口の減少や施策の非効果性により、必要な人材を確保できないリスクがあり、経営成績に悪影響を及ぼす可能性がある。,3. オペレーショナルリスク,人材確保/育成リスク,情報・通信業
S100VFN4,株式会社オロ,2025-03-25 16:33,11,"② ② コンプライアンス体制について
当社グループは、コンプライアンスの徹底が不可欠であると認識しております。
そのため、コンプライアンス方針、企業倫理規程を定め、全役員及び全従業員が高い倫理観を保持し法令等を遵守することを徹底しております。また、全役職員を対象としてコンプライアンスに関する研修を実施し、法令等の違反等を早期に発見し是正するために内部通報制度を整備する等、コンプライアンス体制の強化に取り組んでおります。
しかしながら、当社グループの事業活動に関連して法令等に抵触する事態が発生した場合、第三者からの損害賠償請求による費用発生や、顧客の当社グループに対する信頼喪失により、当社グループの事業及び経営成績に影響を与える可能性があります。",326,"要約: コンプライアンス体制の強化を行っているが、法令違反が発生した場合には損害賠償請求や顧客信頼の喪失により事業や経営成績に影響が出る可能性があるリスク。

大分類: 4. 法務・コンプライアンスリスク  
リスク名: コンプライアンスリスク",コンプライアンス体制の強化を行っているが、法令違反が発生した場合には損害賠償請求や顧客信頼の喪失により事業や経営成績に影響が出る可能性があるリスク。,4. 法務・コンプライアンスリスク,コンプライアンスリスク,情報・通信業
S100VG3G,メディカル・データ・ビジョン株式会社,2025-03-25 16:49,1,"(1） (1）新規サービス展開に伴うリスクについて


　当社グループでは、今後も引き続き、積極的に新規事業に取り組んでまいりますが、これによりシステム投資などの支出が発生し、利益率が低下する可能性があります。また、予測とは異なる状況が発生し新規事業の展開が計画どおりに進まない場合、投資を回収できず、当社の事業及び業績に影響を及ぼす可能性があります。",176,"要約: 新規事業の展開に伴い、システム投資などが発生し、利益率低下のリスクや計画通りに進まない場合の投資回収の困難による業績への影響が考えられる。

大分類: 1. 戦略リスク  
リスク名: 新規事業リスク",新規事業の展開に伴い、システム投資などが発生し、利益率低下のリスクや計画通りに進まない場合の投資回収の困難による業績への影響が考えられる。,1. 戦略リスク,新規事業リスク,情報・通信業
S100VG3G,メディカル・データ・ビジョン株式会社,2025-03-25 16:49,2,"(2） (2）特定役員への依存について


　当社代表取締役社長　岩崎博之は、当社グループ経営の最高責任者であり、営業活動、開発活動に深く関与をしております。当社グループでは、過度な依存を回避すべく、会議体における意思決定の徹底、経営管理体制の強化、マネジメント層の採用、育成を図っておりますが、現時点において当該役員に対する依存度は高い状況にあるといえます。そのため、何らかの理由により当該役員が当社グループ業務を遂行することが困難な状態となり、後任となる経営層の採用、育成が進捗していなかった場合には、当社の事業及び業績に影響を及ぼす可能性があります。",278,"要約: 当社は特定の役員に依存しており、その役員が業務を遂行できなくなった場合、後任の育成が進んでいないため、事業や業績に影響を及ぼす可能性があるリスク。

大分類: 9. その他リスク  
リスク名: 経営者依存リスク",当社は特定の役員に依存しており、その役員が業務を遂行できなくなった場合、後任の育成が進んでいないため、事業や業績に影響を及ぼす可能性があるリスク。,9. その他リスク,経営者依存リスク,情報・通信業
S100VG3G,メディカル・データ・ビジョン株式会社,2025-03-25 16:49,3,"(3） (3）人材の確保・育成について


　当社グループは、今後の事業拡大を進めていくにあたり、優秀な人材を確保するとともに人材育成が重要な課題であると認識しております。このため、採用活動の充実、人材流出の防止に努めておりますが、必要とする人材の確保ができなかった場合や中核となる優秀な人材の流出等が生じた場合には、当社グループの事業及び業績に影響を及ぼす可能性があります。",188,"要約: 優秀な人材の確保や育成が不足すると、事業や業績に悪影響を及ぼすリスクがある。

大分類: 3. オペレーショナルリスク  
リスク名: 人材確保/育成リスク",優秀な人材の確保や育成が不足すると、事業や業績に悪影響を及ぼすリスクがある。,3. オペレーショナルリスク,人材確保/育成リスク,情報・通信業
S100VG3G,メディカル・データ・ビジョン株式会社,2025-03-25 16:49,4,"(4） (4）主要顧客の動向について


　当社グループのユーザである医療機関の経営環境は、医療保険制度の変更及びDPC制度の導入等により厳しさを増しております。そのため医療機関では、業務を効率化し医療サービスを向上させることが経営上必要不可欠となっております。データネットワークサービスにおける主要サービスである「MDV Act」、「EVE」及び「Medical Code」は、病院経営支援システムであり、経営状況の向上を目指す医療機関からのニーズは益々増加するものと考えられます。しかしながら、法規制、医療制度改革等の動向によっては、市場が順調に拡大しない可能性があり、当社グループの経営成績に重要な影響を及ぼす可能性があります。また、データ利活用サービスとして、製薬会社から、傷病名毎の医薬品の処方状況等の解析及び各製薬会社が提供している医薬品の処方状況の解析調査等委託業務を請け負っているため、製薬業界の経済環境及び製薬会社の経営方針の影響を強く受ける特性があります。したがって製薬会社が事業縮小したり、製薬会社の経営が悪化した場合には、当社の業績に影響を及ぼす可能性があります。",494,"要約: 医療機関の経営環境の厳しさや法規制の変化により、当社の業績が影響を受けるリスクが存在する。また、製薬会社の経済環境にも依存するため、業績に不確実性がある。

大分類: 1. 戦略リスク  
リスク名: 市場環境リスク",医療機関の経営環境の厳しさや法規制の変化により、当社の業績が影響を受けるリスクが存在する。また、製薬会社の経済環境にも依存するため、業績に不確実性がある。,1. 戦略リスク,市場環境リスク,情報・通信業
S100VG3G,メディカル・データ・ビジョン株式会社,2025-03-25 16:49,5,"(5） (5）診療報酬について


　当社グループの製品・サービスは医療業界向けであります。２年に一度改定される診療報酬制度に対応した開発・保守体制を構築することを最重要項目と認識しており、製品・サービスの提供において万全の対策を講じております。しかしながら、万一予想し得ない事故等により、サービス提供が間に合わない場合、または、新診療報酬に適合できない場合は、当社の信用を失墜させることになりかねないとともに、当社グループの業績に影響を及ぼす可能性があります。
　また、今後、診療報酬がマイナスとなるような改定等が行われた場合、当社グループの顧客である医療機関の収益を圧迫させることとなり、医療機関の投資意欲・投資余力に影響を及ぼすものと考えられます。その場合、当社グループが提供するサービスの導入を中止、延期する医療機関が発生し、当社グループの業績に影響を及ぼす可能性があります。",392,"要約: 診療報酬制度の改定に伴うリスクがあり、適切な対応ができない場合、業績に悪影響を及ぼす可能性がある。

大分類: 1. 戦略リスク  
リスク名: 新規事業リスク",診療報酬制度の改定に伴うリスクがあり、適切な対応ができない場合、業績に悪影響を及ぼす可能性がある。,1. 戦略リスク,新規事業リスク,情報・通信業
S100VG3G,メディカル・データ・ビジョン株式会社,2025-03-25 16:49,6,"(6） (6）情報セキュリティに関する事故について


　当社グループでは、ASPによるサービス提供を行う等、情報システムに依存した事業を展開しております。当社は、2011年５月に情報セキュリティマネジメントシステム（ISMS）の認証であるISO/IEC 27001：2005 ／ JIS Q 27001：2006を取得し、それらの規格基準に沿って日常業務のあらゆる局面において、各種のセキュリティ管理策を講じ、個人情報を含む情報資源管理を実施し、情報漏洩等のリスクの回避を行っております。しかしながら、コンピュータウイルス等は、日々、新種が増殖していると言われ、その時点で考え得る万全の対策を行っていたとしても、予想し得ない悪意による不正行為等により、個人情報等の情報資源の漏洩、破壊等の事故が発生した場合、当社グループの信用を失墜させることになりかねないとともに、損害賠償等により当社の業績に影響を及ぼす可能性があります。",413,"要約: 情報セキュリティに依存した事業運営において、新種のコンピュータウイルスや不正行為による情報漏洩や破壊のリスクが存在し、これが発生すると信用の失墜や業績への影響が懸念される。

大分類: 6. 技術・情報リスク  
リスク名: 情報セキュリティリスク",情報セキュリティに依存した事業運営において、新種のコンピュータウイルスや不正行為による情報漏洩や破壊のリスクが存在し、これが発生すると信用の失墜や業績への影響が懸念される。,6. 技術・情報リスク,情報セキュリティリスク,情報・通信業
S100VG3G,メディカル・データ・ビジョン株式会社,2025-03-25 16:49,7,"(7） (7）システム障害について


　当社グループは、医療機関及び製薬会社に対して、ASPによるサービスの提供を行っております。また、サーバ運用に際しては、大手クラウドプラットフォームへクラウドホスティングを中心とした利用を行っております。しかしながら、自然災害、火災、コンピュータウイルス、通信トラブル、第三者による不正行為、サーバへの過剰負荷、人為的ミス等の原因によりサーバ及びシステムが正常に稼動できなくなった場合、あるいはサーバ上の情報が消失した場合、当社グループのサービスが停止する可能性があります。当社グループでは上記のような場合に備え、災害等に対応する冗長構成環境であるクラウドプラットフォームを採用し、適切な設定で利用・運用しており、また不測の事態が生じた場合にも、クラウドプラットフォームに保存されている情報を全てバックアップすることで事業運営が行える体制を整えております。当社グループでは、このような対策を行っておりますが、何らかのシステム障害により当社グループのサービスが停止した場合には、当社グループの業績に影響を及ぼす可能性があります。",483,"要約: システム障害によりサービスが停止する可能性があり、業績に影響を及ぼすリスク。

大分類: 6. 技術・情報リスク  
リスク名: システム障害リスク",システム障害によりサービスが停止する可能性があり、業績に影響を及ぼすリスク。,6. 技術・情報リスク,システム障害リスク,情報・通信業
S100VG3G,メディカル・データ・ビジョン株式会社,2025-03-25 16:49,8,"(8） (8）個人情報の保護、顧客情報の保護について


　当社グループは、多数の医療機関・製薬会社・個人に対してサービスを提供しております。提供に際して、顧客より、要配慮個人情報である診療情報等の機密情報を受け取る場合があり、その取扱いには、現時点で考え得る最善の情報セキュリティ管理策を講じるとともに、各担当者が細心の注意を払い運用しております。しかしながら、機密情報の流出等の重大なトラブルが当社グループで発生した場合には、当社グループの社会的信用は低下し、お客様に対する賠償責任が発生する可能性があり、その場合、当社グループの業績に影響を及ぼす可能性があります。当社グループは、個人情報を含む情報資源に関して、個人情報保護法等の関連規制を遵守しながら、その管理体制を整備しておりますが、今後個人情報保護法の改廃や新たな法的規制が設けられる場合や個人情報をめぐる社会情勢の変化、関係官庁等の対応の厳格化等により対応が必要な場合には、当社グループの事業及び業績に影響を及ぼす可能性があります。",448,"要約: 個人情報の適切な管理が求められており、機密情報の流出が発生した場合、社会的信用の低下や賠償責任が生じ、業績に影響を与えるリスクが存在する。

大分類: 6. 技術・情報リスク  
リスク名: 個人情報保護リスク",個人情報の適切な管理が求められており、機密情報の流出が発生した場合、社会的信用の低下や賠償責任が生じ、業績に影響を与えるリスクが存在する。,6. 技術・情報リスク,個人情報保護リスク,情報・通信業
S100VG3G,メディカル・データ・ビジョン株式会社,2025-03-25 16:49,9,"(9） (9）知的財産権について


　当社グループは、システムの設計及びプログラム開発を自らで行っておりますが、知的財産権の出願・取得を行っておりません。これまで、当社グループは第三者より知的財産権に関する侵害訴訟等を提起されたことはありませんが、ソフトウエアに関する技術革新の顕著な進展により、当社グループのソフトウエアが第三者の知的財産権に抵触する可能性を的確に想定、判断できない場合も考えられます。また、当社グループの業務分野において認識していない特許等が成立している場合、当該第三者より損害賠償及び使用差し止め等の訴えを起こされる可能性があり、並びに当該訴えに対する法的手続諸費用が発生する可能性等があります。このような場合には、当社グループの事業及び業績に影響を及ぼす可能性があります。",349,"要約: 知的財産権の出願・取得を行っていないため、第三者の権利に抵触し、侵害訴訟を受けるリスクがあり、業績に影響を及ぼす可能性がある。

大分類: 4. 法務・コンプライアンスリスク  
リスク名: 知的財産リスク",知的財産権の出願・取得を行っていないため、第三者の権利に抵触し、侵害訴訟を受けるリスクがあり、業績に影響を及ぼす可能性がある。,4. 法務・コンプライアンスリスク,知的財産リスク,情報・通信業
S100VG3G,メディカル・データ・ビジョン株式会社,2025-03-25 16:49,10,"(10） (10）政府の施策とその影響について


　当社グループの医療機関向けデータネットワーク事業は、DPC制度導入対象病院に対し、経営支援システム等のサービスを提供しております。DPC制度とは、2003年に導入された、急性期入院医療を対象とした診療報酬の包括評価制度であり、2024年６月１日現在、DPC対象病院は日本全国で1,786病院あります。DPC制度は、今後、対象病棟を拡充していく動きもあるなど、今後も引き続き見直しを行いながら継続していくものと予測されます。しかしながら、政府の施策により、その仕組みが根底より大きく変更となった場合、または、制度そのものが消滅した場合、当社グループの事業及び業績に影響を及ぼす可能性があります。",323,"要約: 政府のDPC制度が大きく変更されるか消滅する場合、医療機関向けサービスの事業と業績に影響を及ぼすリスクがある。

大分類: 1. 戦略リスク  
リスク名: 市場環境リスク",政府のDPC制度が大きく変更されるか消滅する場合、医療機関向けサービスの事業と業績に影響を及ぼすリスクがある。,1. 戦略リスク,市場環境リスク,情報・通信業
S100VG3G,メディカル・データ・ビジョン株式会社,2025-03-25 16:49,11,"(11） (11）SBIホールディングスとの関係について


　SBIホールディングス株式会社は、2024年12月31日現在、当社株式の発行済株式総数（自己株式を除く。）の38.3％を保有しております。


　当社グループとSBIホールディングスグループ（以下「同社グループ」という。）は、SBIホールディングス子会社並びに同社グループの出資先企業と必要に応じた協力関係を保ちながら事業を展開しており、役員の兼務、従業員の派遣、出向及び受け入れ出向等の人的関係はありません。


　また、当社グループの事業戦略、人事政策及び資本政策等について、何ら制約等も受けておりません。


　なお、同社グループは、今後も当社株式を安定保有する意向を有しており、当社グループと同社グループとの関係について重大な変化は生じないものと考えております。しかしながら、将来において、何らかの要因により、同社グループが経営方針や営業戦略等（当社株式の保有方針を含む）を変更した場合、当社グループの事業及び業績に影響を及ぼす可能性があります。",459,"要約: SBIホールディングスとの株式保有関係において、同社が経営方針や営業戦略を変更する可能性があり、それが当社の事業や業績に悪影響を与えるリスクが存在する。

大分類: 1. 戦略リスク  
リスク名: 海外事業リスク",SBIホールディングスとの株式保有関係において、同社が経営方針や営業戦略を変更する可能性があり、それが当社の事業や業績に悪影響を与えるリスクが存在する。,1. 戦略リスク,海外事業リスク,情報・通信業
S100VG3G,メディカル・データ・ビジョン株式会社,2025-03-25 16:49,12,"(12） (12）ストック・オプション行使による株式価値の希薄化について


　当社は、当社の取締役及び従業員に対して、当社役職員がより一層意欲と士気を向上させ、当社の結束力をさらに高めることを目的として、2023年３月13日開催の取締役会及び2024年３月11日開催の取締役会において、会社法第236条、第238条及び第240条の規定に基づき、新株予約権（有償ストック・オプション）の発行をそれぞれ決議しております。これらの新株予約権の行使がなされた場合には、当社グループの１株当たりの株式価値が希薄化することになり、将来における株価へ影響を及ぼす可能性があります。",284,"要約: ストック・オプションの行使によって、株式価値が希薄化し、将来的な株価に影響を及ぼす可能性があるリスク。

大分類: 2. 財務リスク  
リスク名: 株式価値希薄化リスク",ストック・オプションの行使によって、株式価値が希薄化し、将来的な株価に影響を及ぼす可能性があるリスク。,2. 財務リスク,株式価値希薄化リスク,情報・通信業
S100VG3G,メディカル・データ・ビジョン株式会社,2025-03-25 16:49,13,"(13） (13）製品に関する不具合、クレームについて


　当社グループは、本書提出日現在まで、当社グループが開発・販売するシステム等に関し、ユーザ等から訴訟を提起され、または損害賠償請求を受けたことはありません。当社グループは、その開発・販売に係る全てのシステム等につき、欠陥等の不具合を発生させないよう、また、不具合が生じたとしても早期に発見し、かつ是正し得るよう、管理体制を構築しております。しかし当社グループが提供したシステム等に予期しがたい欠陥等が発生し、製品回収や損害賠償等が発生した場合、多大な損害賠償金及び訴訟費用を必要とすることにより、当社グループの業績に影響を及ぼす可能性があります。",303,"要約: 提供したシステムに不具合が発生し、製品回収や損害賠償が必要になることで業績に影響を及ぼすリスク。

大分類: 3. オペレーショナルリスク  
リスク名: 製品不具合リスク",提供したシステムに不具合が発生し、製品回収や損害賠償が必要になることで業績に影響を及ぼすリスク。,3. オペレーショナルリスク,製品不具合リスク,情報・通信業
